#Plane_1x2
#Card       tzero  t_zero_err      entries
0    -4.09556     0.88780             4717
1    -2.56899     0.52790             47169
2    -5.04574     0.38222             81152
3    -3.06971     0.29662             96056
4    6.22982     0.75213             60706
5    6.09756     2.06513             15100
6    10.50000     0.00000             956
