#Plane_2x1
#Card       tzero  t_zero_err      entries
0    -0.61692     0.95326             12638
1    0.81151     0.55962             46133
2    0.48337     0.39854             72507
3    9.22958     1.01334             88515
4    7.79887     0.84366             61621
5    9.42448     1.53290             19742
6    10.50000     0.00000             1595
