#Plane_1v2
#Card       tzero  t_zero_err      entries
0    2.37556     2.38572             2995
1    -3.87882     0.49660             41960
2    -2.44081     0.25320             168695
3    -13.67312     0.68140             87957
4    4.23700     4.94126             4735
5    10.50000     0.00000             526
