#Plane_1v1
#Card       tzero  t_zero_err      entries
0    -2.35703     2.75029             2707
1    -0.89775     0.71968             36819
2    6.54203     0.52705             162024
3    7.79095     0.66296             95997
4    3.21654     2.33424             6767
5    0.50000     0.00000             525
