#Plane_1x1
#Card       tzero  t_zero_err      entries
0    2.25458     5.53626             3464
1    3.78367     0.78678             41932
2    4.26511     0.59441             78886
3    -2.60732     0.30611             95892
4    -3.16548     0.41042             59939
5    -3.69137     0.91316             16089
6    0.50000     0.00000             1056
