#Plane_2x2
#Card       tzero  t_zero_err      entries
0    8.54532     1.95102             13847
1    8.28248     1.02635             46546
2    7.84962     0.93636             77289
3    9.95055     0.82099             88209
4    -0.85216     0.46179             60430
5    -0.93911     0.61253             18591
6    0.50000     0.00000             1520
