#Plane_2v1
#Card       tzero  t_zero_err      entries
0    9.06993     2.66892             4287
1    9.43329     1.49642             30078
2    -0.12798     0.34613             120746
3    0.14078     0.35982             116067
4    0.05418     0.71367             32604
5    -8.42395     1.38437             3354
