#Plane_2u2
#Card       tzero  t_zero_err      entries
0    -0.39646     2.03889             5220
1    0.16698     0.51434             47975
2    1.11726     0.37038             155530
3    -7.88960     0.38542             91671
4    3.73531     3.67899             6732
5    10.50000     0.00000             736
