#Plane_2v2
#Card       tzero  t_zero_err      entries
0    9.29166     2.46779             4666
1    7.36589     1.48931             32325
2    8.94565     0.79920             125388
3    9.31611     0.72470             111375
4    3.34605     1.13011             29873
5    2.62465     2.10822             2956
