#Plane_2u1
#Card       tzero  t_zero_err      entries
0    -2.94620     1.44751             4798
1    2.08181     0.72033             43561
2    8.99931     0.75846             148801
3    9.55691     0.86335             99210
4    4.50339     2.03966             7312
5    20.50000     0.00000             785
