#Plane_1u2
#Card       tzero  t_zero_err      entries
0    3.68400     3.56644             2433
1    4.62977     1.14206             30578
2    5.84805     0.53980             129742
3    5.93495     0.56510             113899
4    -0.06782     0.68861             28544
5    0.50000     0.00000             1861
