#Plane_1x1
#Card       tzero  t_zero_err      entries
0    0.50000     0.00000             506
1    2.25799     0.70219             40330
2    3.85912     0.39163             149640
3    8.05401     0.58307             159753
4    11.88507     0.91751             74626
