#Plane_2v2
#Card       tzero  t_zero_err      entries
0    8.50000     0.00000             128
1    12.50000     0.00000             783
2    10.49302     1.81468             32180
3    12.27604     0.70071             296891
4    7.11842     0.72598             75680
5    9.51361     1.56762             24845
6    12.41879     7.99596             2601
