#Plane_2x1
#Card       tzero  t_zero_err      entries
0    -29.50000     0.00000             928
1    6.37134     0.66588             53813
2    3.60228     0.31922             137305
3    3.87644     0.38902             147034
4    12.87708     1.12936             96211
