#Plane_2x2
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             841
1    3.60656     0.50288             50619
2    7.19950     0.65300             136312
3    9.68555     0.58726             147372
4    11.96703     0.85976             101512
