#Plane_1u2
#Card       tzero  t_zero_err      entries
0    30.50000     0.00000             57
1    12.50000     0.00000             338
2    4.92382     1.10806             22108
3    6.52222     0.41950             302375
4    8.78841     1.14707             74485
5    8.72342     1.37059             19097
6    10.50000     0.00000             674
