#Plane_2v1
#Card       tzero  t_zero_err      entries
0    20.50000     0.00000             218
1    -9.50000     0.00000             1064
2    11.50983     1.16170             59249
3    12.00502     0.54323             288761
4    8.38906     0.89664             60119
5    6.14492     1.14359             20498
6    10.50000     0.00000             1256
