#Plane_1v2
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             56
1    16.50000     0.00000             343
2    12.19497     1.43158             29407
3    3.32961     0.37831             184261
4    3.13455     0.37971             139353
5    4.89938     0.58971             65752
6    6.19093     2.07638             4360
