#Plane_1u1
#Card       tzero  t_zero_err      entries
0    20.50000     0.00000             71
1    0.50000     0.00000             444
2    5.17800     0.81998             42953
3    5.41766     0.32938             298321
4    7.99000     1.21444             60434
5    6.44683     1.75249             15586
6    20.50000     0.00000             311
