#Plane_2u1
#Card       tzero  t_zero_err      entries
0    30.50000     0.00000             145
1    -0.63369     4.34983             2083
2    10.63603     2.21386             50770
3    12.00147     0.77896             183475
4    4.30486     0.42204             123326
5    3.00899     0.61468             63017
6    11.67467     3.13327             7574
