#Plane_1v1
#Card       tzero  t_zero_err      entries
0    20.50000     0.00000             107
1    10.50000     0.00000             899
2    10.06867     1.49940             44122
3    12.72351     0.70840             197375
4    1.33876     0.24955             125320
5    1.44701     0.55045             54024
6    10.50000     0.00000             1483
