#Plane_1x2
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             448
1    8.44269     1.23410             38078
2    1.19304     0.24572             147327
3    3.95722     0.43224             160591
4    6.94060     0.86033             78951
