#Plane_2u2
#Card       tzero  t_zero_err      entries
0    20.50000     0.00000             105
1    20.50000     0.00000             695
2    11.47626     1.70971             34806
3    2.90428     0.41602             174223
4    4.35369     0.51506             136124
5    3.94182     0.51642             71615
6    10.63496     1.99515             13592
