#Plane_1u1
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             15
1    8.50000     0.00000             112
2    3.81400     0.95968             27247
3    4.91695     0.33611             319743
4    7.90059     1.15512             33145
5    7.72209     2.12934             7150
6    26.50000     0.00000             98
