#Plane_2x2
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             230
1    2.87495     0.29007             191796
2    6.89939     0.68717             89833
3    9.48705     0.83931             77927
4    11.45084     1.31180             49734
