#Plane_1v1
#Card       tzero  t_zero_err      entries
0    30.50000     0.00000             15
1    16.50000     0.00000             300
2    9.85429     0.85589             151295
3    12.61839     0.80210             156384
4    0.50192     0.31949             60276
5    2.67629     0.93937             24920
6    10.50000     0.00000             269
