#Plane_1x2
#Card       tzero  t_zero_err      entries
0    28.50000     0.00000             106
1    7.66103     0.52882             175315
2    0.71860     0.32341             100842
3    3.99900     0.57032             84665
4    6.42837     0.76328             35622
