#Plane_1u2
#Card       tzero  t_zero_err      entries
0    24.50000     0.00000             8
1    22.50000     0.00000             69
2    6.65756     2.26354             10369
3    6.31010     0.41934             327113
4    8.61283     1.04261             41400
5    6.68070     2.67477             9061
6    18.50000     0.00000             218
