#Plane_1v2
#Card       tzero  t_zero_err      entries
0    20.50000     0.00000             11
1    28.50000     0.00000             81
2    12.42477     0.80473             92779
3    3.26435     0.32219             198395
4    2.66631     0.58492             68646
5    4.69661     0.69570             30748
6    6.50000     0.00000             1010
