#Plane_2x1
#Card       tzero  t_zero_err      entries
0    20.50000     0.00000             280
1    5.92554     0.43123             194552
2    3.63856     0.38491             89084
3    3.94649     0.53736             77513
4    11.55294     1.59160             47191
