#Plane_2u2
#Card       tzero  t_zero_err      entries
0    50.50000     0.00000             22
1    28.50000     0.00000             177
2    10.95669     1.02076             125375
3    3.02752     0.42633             167578
4    4.55693     0.68114             68419
5    3.60727     0.78903             33936
6    10.03714     5.56595             5628
