#Plane_2v1
#Card       tzero  t_zero_err      entries
0    20.50000     0.00000             71
1    4.50000     0.00000             340
2    11.98800     1.21843             64062
3    11.73305     0.68096             288023
4    7.30616     1.24524             34469
5    3.51518     1.39680             10863
6    20.50000     0.00000             581
