#Plane_1x1
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             141
1    2.24278     0.24659             177039
2    3.84119     0.41441             100645
3    7.85137     0.81970             83942
4    11.71617     2.20748             33650
