#Plane_2u1
#Card       tzero  t_zero_err      entries
0    50.50000     0.00000             34
1    12.50000     0.00000             763
2    11.51969     0.66924             176019
3    11.74822     0.71169             132422
4    3.70702     0.63639             61254
5    2.77583     0.80902             29609
6    8.93965     8.41995             2815
