# E12-10-003: Deuteron Electro-Disintegration Experiment Runlist (Online)
# Feb 24 - March 20 | 2023
#
# (Not-so-obvious) Header Definitions:
# BCM4A_thrs | current [uA] : current threshold | avg. beam current
# BCM4A_charge [mC]       : total accumulated charge
# real_counts             : integrated counts (W or Pmiss) after all cuts
# real_rate [Hz]          : real_counts / beam_on_target [sec] 
# beam_energy [GeV]       : measured Hall C beam energy
# target_mass [amu]       : mass in atomic mass units [a.m.u.]
# (S)HMS_P [GeV/c]        : spectrometer central momentum
# (S)HMS_Angle [deg]      : spectrometer central angle
# PS1-PS6                 : pre-scale factor for triggers T1-T6
# T1-T6_scl_rates [kHz]   : scaler trigger rates
# T1-T6_accp_rates [kHz]  : accepted trigger rates
# T1-T6_tLT               : total EDTM live time
# (S)HMS_TrkEff           : tracking efficiencies
# simc_counts_goal        : SIMC-based statistical goal
# simc_charge_goal [mC]   : SIMC-based charge goal 
#
run,start_run,end_run,kin_study,setting,BCM4A_thrs,BCM4A_current,BCM4A_charge,real_counts,real_rate,beam_on_target,evts_replayed,beam_energy,target,target_mass,HMS_P,HMS_Angle,SHMS_P,SHMS_Angle,PS1,PS2,PS3,PS5,PS6,T1_scl_rates,T2_scl_rates,T3_scl_rates,T5_scl_rates,T6_scl_rates,T1_ccp_rates,T2_accp_rates,T3_accp_rates,T5_accp_rates,T6_accp_rates,T1_tLT,T2_tLT,T3_tLT,T5_tLT,T6_tLT,HMS_TrkEff,SHMS_TrkEff,simc_counts_goal,simc_charge_goal,Comments
20858,            2023-02-26 03:46:07,           2023-02-26 04:01:20,         heep_coin,          delta_scan_+4,        >5.00,                  29.151,                    25.572,                   58878.001,          67.542,         871.724,                     154798,         10.5490,    LH2,         1.007940,       2.4170,   -41.812,       8.5500,    10.435,-1,-1,-1,-1,1,67.003,47.246,0.445,0.158,0.167,0.167,0.159,0.167,0.158,0.167,nan,nan,nan,nan,0.998,0.977,0.963,69768.000,24.480,
20860,            2023-02-26 04:47:23,           2023-02-26 05:19:59,         heep_singles,          delta_scan_+4,        >5.00,                  9.828,                    15.978,                   8043.000,          4.995,         1610.249,                     1905884,         10.5490,    LH2,         1.007940,       2.4170,   -41.812,       8.5500,    10.435,9,-1,-1,-1,-1,10.540,7.758,0.259,0.005,0.006,1.171,0.863,0.001,0.001,0.001,0.961,nan,nan,nan,nan,0.980,0.983,69768.000,24.480,
20861,            2023-02-26 06:11:36,           2023-02-26 06:39:57,         heep_coin,          delta_scan_+8,        >5.00,                  19.619,                    12.637,                   67063.999,          104.818,         639.815,                     183587,         10.5490,    LH2,         1.007940,       2.0480,   -45.667,       8.5500,    9.125,-1,-1,-1,-1,1,100.256,78.738,0.630,0.247,0.260,0.260,0.249,0.260,0.247,0.260,nan,nan,nan,nan,0.998,0.984,0.947,164016.000,24.480,
20862,            2023-02-26 06:51:05,           2023-02-26 06:56:38,         heep_singles,          delta_scan_+8,        >5.00,                  19.481,                    5.690,                   6361.000,          21.930,         290.052,                     449050,         10.5490,    LH2,         1.007940,       2.0480,   -45.667,       8.5500,    9.125,65,-1,-1,-1,-1,99.571,78.201,0.627,0.246,0.258,1.541,1.239,0.005,0.004,0.004,1.237,nan,nan,nan,nan,0.988,0.954,164016.000,24.480,
20857,            2023-02-26 01:56:52,           2023-02-26 02:09:40,         heep_singles,          delta_scan_0,        >5.00,                  9.793,                    6.638,                   5717.000,          8.517,         671.284,                     1712659,         10.5490,    LH2,         1.007940,       2.7830,   -38.549,       8.5500,    11.705,2,-1,-1,-1,-1,5.040,3.221,0.142,0.002,0.003,2.516,1.609,0.002,0.001,0.001,1.010,nan,nan,nan,nan,0.977,0.985,49500.000,36.000,
20863,            2023-02-26 07:18:37,           2023-02-26 07:30:26,         heep_singles,          delta_scan_+8,        >5.00,                  9.822,                    5.675,                   9140.000,          15.963,         572.555,                     1588447,         10.5490,    LH2,         1.007940,       2.0480,   -45.667,       8.5500,    9.125,9,-1,-1,-1,-1,24.496,19.762,0.536,0.012,0.013,2.724,2.207,0.003,0.001,0.001,0.970,nan,nan,nan,nan,0.985,0.979,164016.000,24.480,
20865,            2023-02-26 10:01:24,           2023-02-26 10:04:35,         heep_singles,          delta_scan_+12,        >5.00,                  10.002,                    1.934,                   7268.000,          37.968,         191.422,                     790151,         10.5490,    LH2,         1.007940,       1.6640,   50.498,       8.5500,    7.704,9,-1,-1,-1,-1,68.011,57.957,1.336,0.037,0.040,4.127,3.555,0.008,0.002,0.002,0.566,nan,nan,nan,nan,0.993,0.969,476136.000,24.480,junk___too-short
20868,            2023-02-26 11:02:50,           2023-02-26 11:19:26,         heep_coin,          delta_scan_+12,        >5.00,                  9.948,                    6.788,                   106112.334,          157.024,         675.772,                     262533,         10.5490,    LH2,         1.007940,       1.6640,   -50.498,       8.5500,    7.704,-1,-1,-1,-1,1,133.480,112.036,0.858,0.354,0.372,0.372,0.357,0.372,0.353,0.372,nan,nan,nan,nan,0.998,0.990,0.948,476136.000,24.480,
20871,            2023-02-26 14:59:20,           2023-02-26 15:50:34,         deep,          pm_120,        >5.00,                  35.806,                    99.301,                   15876.000,          5.762,         2755.141,                     163744,         10.5490,    LD2,         2.014102,       3.0523,   -38.630,       8.5500,    12.197,-1,-1,-1,-1,1,62.479,33.082,0.268,0.045,0.048,0.048,0.046,0.048,0.045,0.048,nan,nan,nan,nan,0.999,0.972,0.962,21600.000,144.000,
20869,            2023-02-26 11:20:50,           2023-02-26 12:04:39,         heep_coin,          delta_scan_+12,        >5.00,                  9.842,                    20.990,                   327868.999,          155.217,         2112.328,                     812401,         10.5490,    LH2,         1.007940,       1.6640,   -50.498,       8.5500,    7.704,-1,-1,-1,-1,1,132.048,110.833,0.848,0.350,0.367,0.367,0.353,0.367,0.349,0.367,nan,nan,nan,nan,0.997,0.991,0.949,476136.000,24.480,
20872,            2023-02-26 16:00:11,           2023-02-26 16:40:42,         deep,          pm_120,        >5.00,                  35.358,                    72.398,                   11876.667,          5.840,         2033.659,                     121077,         10.5490,    LD2,         2.014102,       3.0523,   -38.630,       8.5500,    12.197,-1,-1,-1,-1,1,61.702,32.716,0.265,0.045,0.048,0.048,0.045,0.048,0.045,0.048,nan,nan,nan,nan,0.998,0.974,0.961,21600.000,144.000,
20866,            2023-02-26 10:06:01,           2023-02-26 10:18:49,         heep_singles,          delta_scan_+12,        >5.00,                  9.949,                    6.538,                   23947.000,          36.787,         650.963,                     2582125,         10.5490,    LH2,         1.007940,       1.6640,   -50.498,       8.5500,    7.704,17,-1,-1,-1,-1,67.615,57.617,1.326,0.037,0.039,3.954,3.408,0.008,0.002,0.002,1.033,nan,nan,nan,nan,0.993,0.968,476136.000,24.480,
20870,            2023-02-26 12:13:14,           2023-02-26 12:43:32,         heep_singles,          delta_scan_+12,        >5.00,                  9.873,                    15.156,                   28835.000,          18.968,         1520.223,                     3123540,         10.5490,    LH2,         1.007940,       1.6640,   -50.498,       8.5500,    7.704,33,-1,-1,-1,-1,67.121,57.174,1.318,0.037,0.039,2.034,1.752,0.004,0.001,0.001,0.995,nan,nan,nan,nan,0.990,0.968,476136.000,24.480,
20867,            2023-02-26 10:31:48,           2023-02-26 11:00:28,         heep_singles,          delta_scan_+12,        >5.00,                  9.947,                    16.122,                   141693.000,          88.262,         1605.363,                     6429500,         10.5490,    LH2,         1.007940,       1.6640,   -50.498,       8.5500,    7.704,33,-1,-1,-1,-1,133.488,112.041,0.858,0.354,0.372,3.981,3.421,0.015,0.012,0.013,1.124,nan,nan,nan,nan,0.989,0.950,476136.000,24.480,_A_A
20873,            2023-02-26 17:35:37,           2023-02-27 06:40:45,         deep,          pm_580,        >5.00,                  52.055,                    2154.729,                   457.000,          0.011,         41158.336,                     543597,         10.5490,    LD2,         2.014102,       2.2622,   -54.960,       8.5500,    12.197,-1,-1,-1,-1,1,96.183,48.473,0.134,0.001,0.002,0.002,0.001,0.002,0.001,0.002,nan,nan,nan,nan,0.998,0.977,0.943,844.301,3456.000,_A
20874,            2023-02-27 07:03:44,           2023-02-27 10:08:47,         deep,          pm_580,        >5.00,                  58.653,                    556.396,                   116.667,          0.012,         9432.291,                     131111,         10.5490,    LD2,         2.014102,       2.2622,   -54.960,       8.5500,    12.197,-1,-1,-1,-1,1,110.088,54.718,0.151,0.001,0.002,0.002,0.001,0.002,0.001,0.002,nan,nan,nan,nan,0.998,0.971,0.930,844.301,3456.000,
20875,            2023-02-27 10:10:24,           2023-02-27 10:33:57,         deep,          pm_580,        >5.00,                  60.744,                    67.518,                   13.000,          0.012,         1105.309,                     16551,         10.5490,    LD2,         2.014102,       2.2622,   -54.960,       8.5500,    12.197,-1,-1,-1,-1,1,114.245,56.630,0.156,0.001,0.002,0.002,0.001,0.002,0.001,0.002,nan,nan,nan,nan,0.997,0.971,0.922,844.301,3456.000,
