"run
number",start_run,end_run,"kin
study","beam_on_target
[sec]","evts
replayed","beam
energy
[GeV]",target,"target
mass
[amu]","HMS_P
[GeV/c]","HMS_Angle
[deg]","SHMS_P
[GeV/c]","SHMS_Angle
[deg]","BCM4A
thrs
[uA]","BCM4A
current
[uA]","BCM4A
charge
[mC]","integrated
luminosity
[fb^-1]",lumiNorm_counts[fb],PS1,PS2,PS3,PS5,PS6,"T1
scaler_rates
[kHz]","T2
scaler_rates
[kHz]","T3
scaler_rates
[kHz]","T5
scaler_rates
[kHz]","T6
scaler_rates
[kHz]","T1
accp_rates
[kHz]","T2
accp_rates
[kHz]","T3
accp_rates
[kHz]","T5
accp_rates
[kHz]","T6
accp_rates
[kHz]",T1_tLT,T2_tLT,T3_tLT,T5_tLT,T6_tLT,"HMS
TrkEff","SHMS
TrkEff","heep_singles
counts","heep_singles
rates [Hz]","heep_coin
counts","heep_coin
rates [Hz]","MF_real
counts","MF_real
rates [Hz]","SRC_real
counts","SRC_real
rates [Hz]",simc_counts_goal,"simc_charge_goal
[mC]","simc_integrated
luminosity
[fb^-1]",simc_lumiNorm_counts[fb],Comments
16977,            2022-09-19 01:16:28,           2022-09-19 02:20:07,           MF,         3172.785,          875119,       10.5494,     C12,        12.010700,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        27.990,         88.807,          14.562,                  3976.8700 ,-1,513,33,1,-1,61.761,48.684,2.644,0.091,0.103,0.191,0.190,0.169,0.091,0.091,nan,484.302,31.154,0.944,nan,0.994,0.994,nan,nan,nan,nan,57911.40,18.253,nan,nan,52000.000,144.000,23.6124,2202.2372,
16978,            2022-09-19 02:26:28,           2022-09-19 02:30:27,           MF,         199.541,          133357,       10.5494,     Ca48,        47.952523,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        27.489,         5.485,          0.344,                  8308.2840 ,-1,513,33,1,-1,125.022,89.842,11.336,0.140,0.206,0.362,0.349,0.483,0.141,0.140,nan,483.597,31.109,0.943,nan,0.994,0.990,nan,nan,nan,nan,2857.60,14.321,nan,nan,53000.000,144.000,9.0295,5869.6485,
16979,            2022-09-19 02:31:06,           2022-09-19 03:27:35,           MF,         2724.995,          912141,       10.5494,     Ca48,        47.952523,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        27.972,         76.223,          4.780,                  8340.0740 ,-1,1025,129,1,-1,127.974,91.832,11.613,0.143,0.209,0.245,0.242,0.233,0.143,0.140,nan,957.006,120.443,0.934,nan,0.993,0.990,nan,nan,nan,nan,39862.00,14.628,nan,nan,53000.000,144.000,9.0295,5869.6485,
16980,            2022-09-19 03:33:43,           2022-09-19 04:48:38,           MF,         3375.320,          828306,       10.5494,     Ca40,        39.962591,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        27.980,         94.441,          7.106,                  6975.4190 ,-1,1025,129,1,-1,91.609,66.987,8.094,0.104,0.140,0.176,0.175,0.167,0.105,0.103,nan,959.466,120.752,0.936,nan,0.994,0.991,nan,nan,nan,nan,49564.80,14.684,nan,nan,53000.000,144.000,10.8344,4891.8271,
16981,            2022-09-19 04:58:12,           2022-09-19 08:03:21,           MF,         6571.783,          1771786,       10.5494,     Fe54,        53.939615,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        27.606,         181.420,          52.531,                  807.0550 ,-1,257,33,1,-1,38.503,30.096,3.275,0.037,0.044,0.159,0.158,0.136,0.037,0.037,nan,243.519,31.269,0.948,nan,0.994,0.996,nan,nan,nan,nan,42395.60,6.451,nan,nan,55000.000,288.000,83.3919,659.5368,
16982,            2022-09-19 09:50:41,           2022-09-19 11:30:35,           MF,         4787.319,          604889,       10.5494,     Fe54,        53.939615,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        21.800,         104.366,          30.220,                  816.9250 ,-1,513,65,1,-1,30.091,23.632,2.580,0.028,0.034,0.076,0.076,0.068,0.029,0.029,nan,485.601,61.528,0.947,nan,0.994,0.997,nan,nan,nan,nan,24687.20,5.157,nan,nan,55000.000,288.000,83.3919,659.5368,
16983,            2022-09-19 11:39:51,           2022-09-19 12:56:12,           MF,         3719.931,          1136099,       10.5494,     Be9,        9.012182,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        23.381,         86.976,          35.475,                  3174.3410 ,-1,1025,33,1,-1,88.173,68.550,3.026,0.138,0.157,0.214,0.212,0.226,0.138,0.138,nan,962.251,30.980,0.939,nan,0.994,0.995,nan,nan,nan,nan,112609.40,30.272,nan,nan,98000.000,144.000,58.7333,1668.5583,
16984,            2022-09-19 13:16:43,           2022-09-19 14:12:28,           MF,         2673.093,          619448,       10.5494,     B10,        10.012937,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        28.490,         76.157,          16.353,                  3690.4110 ,-1,1025,33,1,-1,63.186,49.896,2.445,0.099,0.112,0.153,0.152,0.171,0.100,0.100,nan,964.437,31.050,0.941,nan,0.994,0.996,nan,nan,nan,nan,60350.60,22.577,nan,nan,57000.000,144.000,30.9214,1843.3830,
16986,            2022-09-19 14:43:26,           2022-09-19 15:35:55,           MF,         402.258,          140426,       10.5494,     B11,        11.009306,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        45.475,         18.293,          3.960,                  3176.8890 ,-1,2049,65,1,-1,113.221,87.678,4.412,0.165,0.199,0.217,0.215,0.231,0.166,0.165,nan,1911.072,60.625,0.933,nan,0.995,0.992,nan,nan,nan,nan,12579.40,31.272,nan,nan,63000.000,144.000,31.1705,2021.1403,
16991,            2022-09-20 00:48:46,           2022-09-20 04:48:48,           MF,         5530.428,          1615224,       10.5494,     B11,        11.009306,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        38.802,         214.592,          46.451,                  3276.3400 ,-1,1025,65,1,-1,95.574,74.663,3.775,0.138,0.162,0.217,0.216,0.194,0.138,0.138,nan,961.642,60.982,0.938,nan,0.995,0.993,nan,nan,nan,nan,152189.20,27.519,nan,nan,63000.000,144.000,31.1705,2021.1403,
