"run
number",start_run,end_run,"kin
study","beam_on_target
[sec]","evts
replayed","beam
energy
[GeV]",target,"target
mass
[amu]","HMS_P
[GeV/c]","HMS_Angle
[deg]","SHMS_P
[GeV/c]","SHMS_Angle
[deg]","BCM4A
thrs
[uA]","BCM4A
current
[uA]","BCM4A
charge
[mC]","integrated
luminosity
[fb^-1]",lumiNorm_counts[fb],PS1,PS2,PS3,PS5,PS6,"T1
scaler_rates
[kHz]","T2
scaler_rates
[kHz]","T3
scaler_rates
[kHz]","T5
scaler_rates
[kHz]","T6
scaler_rates
[kHz]","T1
accp_rates
[kHz]","T2
accp_rates
[kHz]","T3
accp_rates
[kHz]","T5
accp_rates
[kHz]","T6
accp_rates
[kHz]",T1_tLT,T2_tLT,T3_tLT,T5_tLT,T6_tLT,"HMS
TrkEff","SHMS
TrkEff","heep_singles
counts","heep_singles
rates [Hz]","heep_coin
counts","heep_coin
rates [Hz]","MF_real
counts","MF_real
rates [Hz]","SRC_real
counts","SRC_real
rates [Hz]",simc_counts_goal,"simc_charge_goal
[mC]","simc_integrated
luminosity
[fb^-1]",simc_lumiNorm_counts[fb],Comments
17039,            2022-09-22 06:59:11,           2022-09-22 07:34:14,           SRC,         1481.516,          646599,       10.5494,     Ca48,        47.952523,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        52.978,         78.488,          4.922,                  62.5000 ,-1,2049,257,1,-1,262.860,178.527,27.413,0.229,0.539,0.346,0.337,0.338,0.230,0.202,nan,1924.511,241.386,0.939,nan,0.997,0.969,nan,nan,nan,nan,nan,nan,307.60,0.208,8700.000,3456.000,216.7080,40.1462,
17040,            2022-09-22 07:59:55,           2022-09-22 08:59:55,           SRC,         2245.717,          942937,       10.5494,     Ca48,        47.952523,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        51.435,         115.507,          7.243,                  56.5520 ,-1,2049,257,1,-1,252.972,172.212,26.466,0.218,0.511,0.329,0.321,0.323,0.218,0.192,nan,1925.035,241.451,0.939,nan,0.996,0.969,nan,nan,nan,nan,nan,nan,409.60,0.182,8700.000,3456.000,216.7080,40.1462,
17041,            2022-09-22 09:01:13,           2022-09-22 10:00:50,           SRC,         1959.777,          862421,       10.5494,     Ca48,        47.952523,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        53.038,         103.942,          6.518,                  56.1240 ,-1,2049,257,1,-1,261.836,177.764,27.260,0.230,0.543,0.346,0.338,0.338,0.231,0.203,nan,1917.659,240.526,0.936,nan,0.997,0.969,nan,nan,nan,nan,nan,nan,365.80,0.187,8700.000,3456.000,216.7080,40.1462,
17043,            2022-09-22 10:09:54,           2022-09-22 10:32:14,           SRC,         1137.186,          269919,       10.5494,     Ca48,        47.952523,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        35.387,         40.241,          2.523,                  74.6640 ,-1,2049,257,1,-1,161.260,114.556,18.267,0.099,0.214,0.167,0.164,0.171,0.099,0.088,nan,1928.407,241.874,0.941,nan,0.997,0.982,nan,nan,nan,nan,nan,nan,188.40,0.166,8700.000,3456.000,216.7080,40.1462,
17044,            2022-09-22 10:34:33,           2022-09-22 11:37:51,           SRC,         3417.061,          957099,       10.5494,     Ca48,        47.952523,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        40.231,         137.471,          8.620,                  68.3980 ,-1,2049,257,1,-1,186.532,131.220,20.751,0.125,0.275,0.204,0.200,0.207,0.125,0.111,nan,1925.890,241.559,0.940,nan,0.997,0.980,nan,nan,nan,nan,nan,nan,589.60,0.173,8700.000,3456.000,216.7080,40.1462,
17045,            2022-09-22 11:41:02,           2022-09-22 12:41:18,           SRC,         2758.547,          947602,       10.5494,     Ca48,        47.952523,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        46.177,         127.381,          7.987,                  65.6530 ,-1,2049,257,1,-1,219.124,152.018,23.748,0.164,0.373,0.260,0.254,0.259,0.165,0.146,nan,1922.288,241.107,0.938,nan,0.997,0.977,nan,nan,nan,nan,nan,nan,524.40,0.190,8700.000,3456.000,216.7080,40.1462,
17046,            2022-09-22 12:50:21,           2022-09-22 13:20:21,           SRC,         546.935,          183993,       10.5494,     Ca48,        47.952523,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        43.117,         23.582,          1.479,                  57.3460 ,-1,2049,257,1,-1,203.508,141.600,22.165,0.149,0.338,0.238,0.232,0.238,0.150,0.132,nan,1916.685,240.404,0.935,nan,0.997,0.977,nan,nan,nan,nan,nan,nan,84.80,0.155,8700.000,3456.000,216.7080,40.1462,
17047,            2022-09-22 14:44:55,           2022-09-22 15:46:16,           SRC,         2490.780,          1000671,       10.5494,     Ca48,        47.952523,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        50.509,         125.806,          7.889,                  67.2610 ,-1,2049,257,1,-1,246.196,168.527,26.085,0.204,0.474,0.312,0.305,0.308,0.205,0.180,nan,1917.326,240.484,0.936,nan,0.997,0.971,nan,nan,nan,nan,nan,nan,530.60,0.213,8700.000,3456.000,216.7080,40.1462,
17048,            2022-09-22 15:50:48,           2022-09-22 16:53:03,           SRC,         2765.419,          1101879,       10.5494,     Ca48,        47.952523,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        51.059,         141.201,          8.854,                  59.3410 ,-1,2049,257,1,-1,247.415,169.912,26.330,0.200,0.464,0.309,0.302,0.305,0.201,0.177,nan,1923.126,241.212,0.939,nan,0.997,0.972,nan,nan,nan,nan,nan,nan,525.40,0.190,8700.000,3456.000,216.7080,40.1462,""
17049,            2022-09-22 16:54:48,           2022-09-22 17:24:55,           SRC,         1450.841,          633346,       10.5494,     Ca48,        47.952523,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        54.599,         79.215,          4.967,                  59.5920 ,-1,2049,257,1,-1,268.019,182.732,27.871,0.227,0.531,0.346,0.337,0.338,0.228,0.200,nan,1916.774,240.415,0.935,nan,0.997,0.969,nan,nan,nan,nan,nan,nan,296.00,0.204,8700.000,3456.000,216.7080,40.1462,
17050,            2022-09-22 17:38:21,           2022-09-22 18:05:02,           SRC,         1330.214,          599015,       10.5494,     Ca48,        47.952523,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        55.916,         74.380,          4.664,                  64.4940 ,-1,2049,257,1,-1,274.773,187.137,28.764,0.236,0.554,0.358,0.349,0.351,0.237,0.208,nan,1920.396,240.870,0.937,nan,0.997,0.970,nan,nan,nan,nan,nan,nan,300.80,0.226,8700.000,3456.000,216.7080,40.1462,
17051,            2022-09-22 18:47:54,           2022-09-22 20:06:04,           SRC,         3972.532,          1778815,       10.5494,     Ca48,        47.952523,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        55.529,         220.590,          13.832,                  65.3990 ,-1,2049,257,1,-1,272.669,185.657,28.519,0.235,0.552,0.356,0.347,0.349,0.236,0.207,nan,1920.847,240.926,0.937,nan,0.997,0.970,nan,nan,nan,nan,nan,nan,904.60,0.228,8700.000,3456.000,216.7080,40.1462,
17052,            2022-09-22 20:06:55,           2022-09-22 21:08:37,           SRC,         2547.691,          1118535,       10.5494,     Ca48,        47.952523,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        54.356,         138.482,          8.683,                  58.2950 ,-1,2049,257,1,-1,266.189,181.401,27.888,0.229,0.536,0.346,0.338,0.339,0.229,0.202,nan,1927.065,241.706,0.940,nan,0.997,0.970,nan,nan,nan,nan,nan,nan,506.20,0.199,8700.000,3456.000,216.7080,40.1462,
17053,            2022-09-22 21:09:15,           2022-09-22 22:21:03,           SRC,         3437.772,          1507642,       10.5494,     Ca48,        47.952523,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        54.631,         187.809,          11.777,                  64.4840 ,-1,2049,257,1,-1,267.216,182.142,27.993,0.229,0.537,0.347,0.339,0.341,0.230,0.202,nan,1922.926,241.187,0.938,nan,0.996,0.970,nan,nan,nan,nan,nan,nan,759.40,0.221,8700.000,3456.000,216.7080,40.1462,
17054,            2022-09-22 22:21:47,           2022-09-22 23:22:53,           SRC,         2868.874,          1279132,       10.5494,     Ca48,        47.952523,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        55.343,         158.772,          9.956,                  60.5680 ,-1,2049,257,1,-1,270.908,184.548,28.331,0.234,0.548,0.354,0.345,0.346,0.234,0.206,nan,1924.301,241.359,0.939,nan,0.996,0.970,nan,nan,nan,nan,nan,nan,603.00,0.210,8700.000,3456.000,216.7080,40.1462,
17055,            2022-09-22 23:23:37,           2022-09-23 00:35:13,           SRC,         3374.152,          1494639,       10.5494,     Ca48,        47.952523,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        55.056,         185.768,          11.649,                  60.2820 ,-1,2049,257,1,-1,269.184,183.411,28.170,0.232,0.544,0.351,0.343,0.344,0.233,0.205,nan,1910.799,239.666,0.933,nan,0.996,0.970,nan,nan,nan,nan,nan,nan,702.20,0.208,8700.000,3456.000,216.7080,40.1462,
17056,            2022-09-23 00:35:56,           2022-09-23 01:42:30,           SRC,         3426.929,          1555008,       10.5494,     Ca48,        47.952523,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        56.409,         193.309,          12.121,                  61.9730 ,-1,2049,257,1,-1,276.063,187.927,28.824,0.239,0.561,0.362,0.353,0.354,0.240,0.211,nan,1919.048,240.700,0.937,nan,0.996,0.970,nan,nan,nan,nan,nan,nan,751.20,0.219,8700.000,3456.000,216.7080,40.1462,
17057,            2022-09-23 01:43:10,           2022-09-23 02:47:03,           SRC,         3181.943,          1406304,       10.5494,     Ca48,        47.952523,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        55.121,         175.391,          10.998,                  61.9760 ,-1,2049,257,1,-1,268.998,183.295,28.155,0.232,0.543,0.351,0.343,0.344,0.233,0.204,nan,1912.848,239.923,0.934,nan,0.996,0.970,nan,nan,nan,nan,nan,nan,681.60,0.214,8700.000,3456.000,216.7080,40.1462,
17058,            2022-09-23 02:54:37,           2022-09-23 03:07:15,           SRC,         733.431,          180435,       10.5494,     Fe54,        53.939615,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        59.344,         43.525,          12.603,                  7.2050 ,-1,513,129,1,-1,85.680,65.630,9.428,0.035,0.065,0.170,0.169,0.110,0.036,0.033,nan,483.591,121.605,0.943,nan,0.996,0.992,nan,nan,nan,nan,nan,nan,90.80,0.124,8700.000,5760.000,1667.8372,5.2163,fadcmode10
17059,            2022-09-23 03:08:00,           2022-09-23 04:10:05,           SRC,         2887.817,          660823,       10.5494,     Fe54,        53.939615,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        54.550,         157.530,          45.613,                  6.2260 ,-1,513,129,1,-1,78.680,60.355,8.675,0.031,0.058,0.155,0.154,0.100,0.032,0.029,nan,483.000,121.456,0.942,nan,0.996,0.992,nan,nan,nan,nan,nan,nan,284.00,0.098,8700.000,5760.000,1667.8372,5.2163,
17060,            2022-09-23 04:10:41,           2022-09-23 05:14:51,           SRC,         3251.846,          762941,       10.5494,     Fe54,        53.939615,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        56.147,         182.583,          52.868,                  6.6090 ,-1,513,129,1,-1,81.093,62.185,8.935,0.033,0.060,0.160,0.159,0.103,0.033,0.030,nan,484.586,121.855,0.945,nan,0.996,0.992,nan,nan,nan,nan,nan,nan,349.40,0.107,8700.000,5760.000,1667.8372,5.2163,
17061,            2022-09-23 05:15:34,           2022-09-23 06:17:04,           SRC,         2979.541,          705486,       10.5494,     Fe54,        53.939615,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        56.585,         168.597,          48.818,                  6.8540 ,-1,513,129,1,-1,81.714,62.677,9.005,0.033,0.061,0.162,0.160,0.104,0.033,0.030,nan,483.940,121.693,0.943,nan,0.996,0.991,nan,nan,nan,nan,nan,nan,334.60,0.112,8700.000,5760.000,1667.8372,5.2163,
17062,            2022-09-23 06:17:45,           2022-09-23 07:16:57,           SRC,         2758.635,          626057,       10.5494,     Fe54,        53.939615,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        54.098,         149.236,          43.212,                  6.5210 ,-1,513,129,1,-1,77.993,59.884,8.611,0.031,0.057,0.154,0.152,0.099,0.031,0.029,nan,485.272,122.028,0.946,nan,0.996,0.992,nan,nan,nan,nan,nan,nan,281.80,0.102,8700.000,5760.000,1667.8372,5.2163,
17063,            2022-09-23 07:17:37,           2022-09-23 08:17:04,           SRC,         2512.720,          549492,       10.5494,     Fe54,        53.939615,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        51.728,         129.978,          37.636,                  6.9990 ,-1,513,129,1,-1,74.500,57.245,8.236,0.029,0.054,0.147,0.145,0.094,0.030,0.027,nan,483.479,121.577,0.942,nan,0.996,0.992,nan,nan,nan,nan,nan,nan,263.40,0.105,8700.000,5760.000,1667.8372,5.2163,_A_A_A
17064,            2022-09-23 08:18:01,           2022-09-23 09:15:58,           SRC,         2769.613,          633809,       10.5494,     Fe54,        53.939615,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        54.618,         151.270,          43.801,                  7.0360 ,-1,513,129,1,-1,78.734,60.441,8.687,0.031,0.058,0.155,0.154,0.100,0.032,0.029,nan,484.529,121.841,0.945,nan,0.996,0.992,nan,nan,nan,nan,nan,nan,308.20,0.111,8700.000,5760.000,1667.8372,5.2163,
17067,            2022-09-25 03:44:19,           2022-09-25 05:21:47,           SRC,         4342.129,          740160,       10.5494,     Fe54,        53.939615,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        40.836,         177.314,          51.342,                  7.2070 ,-1,513,129,1,-1,57.965,44.918,6.517,0.019,0.034,0.111,0.110,0.071,0.020,0.018,nan,480.669,120.870,0.937,nan,0.996,0.993,nan,nan,nan,nan,nan,nan,370.00,0.085,8700.000,5760.000,1667.8372,5.2163,370
17068,            2022-09-25 05:22:47,           2022-09-25 06:23:05,           SRC,         2903.776,          495711,       10.5494,     Fe54,        53.939615,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        41.067,         119.248,          34.529,                  7.4370 ,-1,513,129,1,-1,58.422,45.271,6.570,0.019,0.035,0.111,0.111,0.071,0.020,0.018,nan,480.645,120.864,0.937,nan,0.996,0.993,nan,nan,nan,nan,nan,nan,256.80,0.088,8700.000,5760.000,1667.8372,5.2163,256.8
17069,            2022-09-25 06:23:53,           2022-09-25 07:23:20,           SRC,         701.487,          111342,       10.5494,     Fe54,        53.939615,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        28.877,         20.257,          5.866,                  6.2060 ,-1,513,129,1,-1,40.773,31.701,4.617,0.012,0.022,0.077,0.076,0.049,0.013,0.012,nan,482.332,121.288,0.940,nan,0.997,0.993,nan,nan,nan,nan,nan,nan,36.40,0.052,8700.000,5760.000,1667.8372,5.2163,36.4
17070,            2022-09-25 07:28:49,           2022-09-25 08:29:32,           SRC,         2395.257,          366650,       10.5494,     Fe54,        53.939615,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        36.015,         86.266,          24.979,                  7.3500 ,-1,513,129,1,-1,51.067,39.647,5.765,0.016,0.029,0.097,0.096,0.062,0.017,0.015,nan,481.083,120.974,0.938,nan,0.996,0.994,nan,nan,nan,nan,nan,nan,183.60,0.077,8700.000,5760.000,1667.8372,5.2163,
17071,            2022-09-25 08:35:52,           2022-09-25 09:24:58,           SRC,         947.201,          90631,       10.5494,     Fe54,        53.939615,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        18.024,         17.072,          4.943,                  7.2830 ,-1,513,129,1,-1,24.846,19.537,2.875,0.005,0.009,0.045,0.045,0.028,0.006,0.006,nan,482.136,121.239,0.940,nan,0.996,0.997,nan,nan,nan,nan,nan,nan,36.00,0.038,8700.000,5760.000,1667.8372,5.2163,
17072,            2022-09-25 10:33:31,           2022-09-25 11:02:39,           SRC,         739.364,          158574,       10.5494,     Fe54,        53.939615,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        48.344,         35.744,          10.350,                  6.7830 ,-1,513,129,1,-1,69.711,53.543,7.705,0.028,0.051,0.138,0.137,0.089,0.028,0.026,nan,482.717,121.385,0.941,nan,0.996,0.991,nan,nan,nan,nan,nan,nan,70.20,0.095,8700.000,5760.000,1667.8372,5.2163,
17073,            2022-09-25 11:11:25,           2022-09-25 11:55:06,           SRC,         774.976,          189142,       10.5494,     Fe54,        53.939615,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        53.091,         41.144,          11.913,                  7.6220 ,-1,513,129,1,-1,76.864,58.864,8.460,0.032,0.059,0.153,0.152,0.099,0.032,0.029,nan,479.323,120.531,0.934,nan,0.996,0.990,nan,nan,nan,nan,nan,nan,90.80,0.117,8700.000,5760.000,1667.8372,5.2163,
17074,            2022-09-25 12:01:58,           2022-09-25 12:26:25,           SRC,         364.366,          93411,       10.5494,     Fe54,        53.939615,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        54.944,         20.020,          5.797,                  4.8990 ,-1,513,129,1,-1,79.341,60.936,8.759,0.032,0.059,0.157,0.156,0.101,0.032,0.029,nan,476.549,119.834,0.929,nan,0.996,0.993,nan,nan,nan,nan,nan,nan,28.40,0.078,8700.000,5760.000,1667.8372,5.2163,
17075,            2022-09-25 12:37:46,           2022-09-25 13:36:52,           SRC,         2315.702,          557706,       10.5494,     Fe54,        53.939615,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        56.324,         130.429,          37.766,                  6.6140 ,-1,513,129,1,-1,81.774,62.524,8.977,0.035,0.065,0.164,0.162,0.106,0.035,0.032,nan,480.929,120.935,0.937,nan,0.996,0.991,nan,nan,nan,nan,nan,nan,249.80,0.108,8700.000,5760.000,1667.8372,5.2163,
17076,            2022-09-25 13:42:55,           2022-09-25 14:14:24,           SRC,         1111.248,          324425,       10.5494,     C12,        12.010700,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        55.379,         61.540,          10.091,                  27.5290 ,-1,513,129,1,-1,127.131,98.124,5.686,0.040,0.070,0.238,0.237,0.086,0.041,0.038,nan,479.427,120.558,0.935,nan,0.997,0.986,nan,nan,nan,nan,nan,nan,277.80,0.250,5000.000,2016.000,330.5729,15.1253,
17078,            2022-09-25 16:35:30,           2022-09-25 16:48:33,           SRC,         336.333,          42268,       10.5494,     C12,        12.010700,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        27.365,         9.204,          1.509,                  20.5410 ,-1,1025,65,1,-1,60.468,47.658,2.803,0.013,0.021,0.064,0.063,0.057,0.014,0.013,nan,958.950,60.811,0.936,nan,0.997,0.992,nan,nan,nan,nan,nan,nan,31.00,0.092,5000.000,2016.000,330.5729,15.1253,fADC_mode_10_run
17079,            2022-09-25 16:50:27,           2022-09-25 17:06:17,           SRC,         777.245,          90523,       10.5494,     C12,        12.010700,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        27.714,         21.540,          3.532,                  30.9730 ,-1,1025,65,1,-1,61.179,48.280,2.845,0.013,0.020,0.064,0.063,0.057,0.014,0.013,nan,957.514,60.720,0.934,nan,0.997,0.995,nan,nan,nan,nan,nan,nan,109.40,0.141,5000.000,2016.000,330.5729,15.1253,Application_Error__look_Logbook_
17080,            2022-09-25 17:11:00,           2022-09-25 18:12:50,           SRC,         2290.827,          385316,       10.5494,     C12,        12.010700,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        39.247,         89.908,          14.743,                  27.9600 ,-1,1025,65,1,-1,88.132,68.903,4.031,0.023,0.038,0.097,0.095,0.086,0.024,0.022,nan,962.635,61.045,0.939,nan,0.996,0.992,nan,nan,nan,nan,nan,nan,412.20,0.180,5000.000,2016.000,330.5729,15.1253,
17081,            2022-09-25 18:13:48,           2022-09-25 19:15:19,           SRC,         2758.699,          432010,       10.5494,     C12,        12.010700,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        37.103,         102.355,          16.784,                  26.7400 ,-1,1025,65,1,-1,83.216,65.104,3.811,0.021,0.034,0.091,0.090,0.080,0.022,0.020,nan,962.629,61.045,0.939,nan,0.996,0.992,nan,nan,nan,nan,nan,nan,448.80,0.163,5000.000,2016.000,330.5729,15.1253,
17082,            2022-09-25 19:15:56,           2022-09-25 20:03:53,           SRC,         1308.999,          177348,       10.5494,     C12,        12.010700,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        29.835,         39.054,          6.404,                  24.1100 ,-1,1025,65,1,-1,66.458,52.155,3.061,0.016,0.026,0.071,0.070,0.064,0.016,0.015,nan,958.615,60.790,0.935,nan,0.997,0.993,nan,nan,nan,nan,nan,nan,154.40,0.118,5000.000,2016.000,330.5729,15.1253,run_stopped_because_no_beam
17083,            2022-09-25 20:20:38,           2022-09-25 21:17:11,           SRC,         2925.152,          550156,       10.5494,     C12,        12.010700,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        45.096,         131.912,          21.630,                  24.4840 ,-1,1025,65,1,-1,102.061,79.445,4.636,0.028,0.047,0.114,0.112,0.100,0.029,0.027,nan,958.089,60.757,0.935,nan,0.996,0.990,nan,nan,nan,nan,nan,nan,529.60,0.181,5000.000,2016.000,330.5729,15.1253,
17084,            2022-09-25 21:17:45,           2022-09-25 22:05:37,           SRC,         1841.393,          369183,       10.5494,     C12,        12.010700,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        47.020,         86.582,          14.197,                  24.9200 ,-1,1025,65,1,-1,106.846,82.945,4.833,0.030,0.051,0.121,0.119,0.105,0.031,0.029,nan,957.754,60.736,0.934,nan,0.996,0.989,nan,nan,nan,nan,nan,nan,353.80,0.192,5000.000,2016.000,330.5729,15.1253,
17085,            2022-09-25 22:57:18,           2022-09-25 23:58:48,           SRC,         3041.756,          569275,       10.5494,     C12,        12.010700,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        44.845,         136.407,          22.367,                  28.9620 ,-1,1025,65,1,-1,101.412,79.022,4.613,0.027,0.046,0.113,0.111,0.099,0.028,0.026,nan,960.823,60.930,0.937,nan,0.996,0.991,nan,nan,nan,nan,nan,nan,647.80,0.213,5000.000,2016.000,330.5729,15.1253,
17086,            2022-09-25 23:59:48,           2022-09-26 00:56:37,           SRC,         2803.732,          605590,       10.5494,     C12,        12.010700,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        51.526,         144.465,          23.689,                  25.1340 ,-1,1025,65,1,-1,117.502,91.164,5.304,0.034,0.058,0.134,0.131,0.116,0.035,0.032,nan,959.337,60.836,0.936,nan,0.997,0.989,nan,nan,nan,nan,nan,nan,595.40,0.212,5000.000,2016.000,330.5729,15.1253,
17087,            2022-09-26 00:57:44,           2022-09-26 01:55:47,           SRC,         2428.523,          512711,       10.5494,     C12,        12.010700,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        49.829,         121.011,          19.843,                  26.8610 ,-1,1025,65,1,-1,113.501,88.101,5.127,0.032,0.055,0.129,0.126,0.112,0.033,0.031,nan,961.890,60.998,0.938,nan,0.997,0.990,nan,nan,nan,nan,nan,nan,533.00,0.219,5000.000,2016.000,330.5729,15.1253,
17088,            2022-09-26 01:56:39,           2022-09-26 03:02:30,           SRC,         2909.614,          566307,       10.5494,     C12,        12.010700,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        46.096,         134.121,          21.992,                  25.1900 ,-1,1025,65,1,-1,104.645,81.396,4.739,0.029,0.049,0.118,0.116,0.103,0.030,0.028,nan,960.626,60.918,0.937,nan,0.997,0.990,nan,nan,nan,nan,nan,nan,554.00,0.190,5000.000,2016.000,330.5729,15.1253,
17089,            2022-09-26 03:03:23,           2022-09-26 03:41:05,           SRC,         1485.708,          289464,       10.5494,     C12,        12.010700,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        45.649,         67.822,          11.121,                  25.5550 ,-1,1025,65,1,-1,103.642,80.557,4.692,0.029,0.049,0.117,0.115,0.102,0.030,0.028,nan,962.084,61.010,0.939,nan,0.997,0.991,nan,nan,nan,nan,nan,nan,284.20,0.191,5000.000,2016.000,330.5729,15.1253,
17090,            2022-09-26 05:30:16,           2022-09-26 05:41:52,           SRC,         614.828,          114259,       10.5494,     C12,        12.010700,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        47.010,         28.903,          4.739,                  27.2610 ,-1,1025,65,1,-1,107.798,83.927,4.249,0.028,0.046,0.118,0.116,0.093,0.028,0.026,nan,963.259,61.085,0.940,nan,0.997,0.989,nan,nan,nan,nan,nan,nan,129.20,0.210,5000.000,2016.000,330.5729,15.1253,fadcmode10_run
17093,            2022-09-26 20:34:40,           2022-09-26 21:13:23,           MF,         1727.586,          717588,       10.5494,     Ca48,        47.952523,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        28.783,         49.725,          3.118,                  8587.5330 ,-1,1025,65,1,-1,128.464,92.708,11.607,0.133,0.206,0.249,0.242,0.312,0.134,0.129,nan,960.469,60.908,0.937,nan,0.994,0.988,nan,nan,nan,nan,26776.00,15.499,nan,nan,53000.000,144.000,9.0295,5869.6485,
17094,            2022-09-26 21:14:05,           2022-09-26 21:30:17,           MF,         381.998,          189110,       10.5494,     Ca48,        47.952523,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        33.181,         12.675,          0.795,                  8226.3080 ,-1,1025,65,1,-1,150.839,107.713,13.372,0.162,0.258,0.300,0.291,0.367,0.162,0.155,nan,958.228,60.766,0.935,nan,0.994,0.985,nan,nan,nan,nan,6538.20,17.116,nan,nan,53000.000,144.000,9.0295,5869.6485,
17096,            2022-09-27 03:17:42,           2022-09-27 03:48:32,           MF,         1647.804,          808378,       10.5494,     Ca48,        47.952523,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        60.046,         98.943,          6.204,                  7251.8910 ,-1,4097,513,1,-1,300.780,203.739,24.041,0.384,0.707,0.447,0.443,0.432,0.384,0.356,nan,3825.563,479.012,0.934,nan,0.993,0.969,nan,nan,nan,nan,44992.40,27.304,nan,nan,53000.000,144.000,9.0295,5869.6485,Extrapolated_rates_were_not_as_expected._Additional_events_taken.
17097,            2022-09-27 03:53:53,           2022-09-27 04:16:14,           MF,         935.182,          386176,       10.5494,     Ca40,        39.962591,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        58.438,         54.651,          4.112,                  6105.9590 ,-1,2049,257,1,-1,212.646,147.238,16.733,0.263,0.433,0.349,0.345,0.329,0.263,0.249,nan,1910.275,239.600,0.932,nan,0.993,0.979,nan,nan,nan,nan,25106.80,26.847,nan,nan,53000.000,144.000,10.8344,4891.8271,
17098,            2022-09-27 04:21:54,           2022-09-27 04:33:19,           MF,         581.090,          221882,       10.5494,     C12,        12.010700,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        57.893,         33.641,          5.516,                  3625.9060 ,-1,1025,65,1,-1,133.336,102.973,5.454,0.189,0.241,0.302,0.299,0.271,0.189,0.187,nan,954.921,60.556,0.932,nan,0.993,0.990,nan,nan,nan,nan,20001.60,34.421,nan,nan,52000.000,144.000,23.6124,2202.2372,
17099,            2022-09-27 04:39:23,           2022-09-27 04:50:01,           MF,         396.880,          109242,       10.5494,     Be9,        9.012182,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        31.501,         12.502,          5.099,                  2764.2020 ,-1,2049,129,1,-1,123.506,94.375,4.079,0.182,0.230,0.234,0.233,0.213,0.183,0.181,nan,1908.118,120.130,0.931,nan,0.994,0.989,nan,nan,nan,nan,14095.20,35.515,nan,nan,98000.000,144.000,58.7333,1668.5583,
